Kód okresu,Kód obce,Názov okresu,Názov obce,Pohlavie,Ekonomické vekové skupiny,abs.
SK0106,SK0106508080,Okres Malacky,Marianka,žena,predproduktívny vek (0-14 rokov),238
SK0106,SK0106508080,Okres Malacky,Marianka,žena,produktívny vek (15-64 rokov),764
SK0106,SK0106508080,Okres Malacky,Marianka,žena,poproduktívny vek (65 a viac rokov),165
SK0106,SK0106508161,Okres Malacky,Pernek,muž,predproduktívny vek (0-14 rokov),72
SK0106,SK0106508161,Okres Malacky,Pernek,muž,produktívny vek (15-64 rokov),288
SK0106,SK0106508161,Okres Malacky,Pernek,muž,poproduktívny vek (65 a viac rokov),75
SK0106,SK0106508161,Okres Malacky,Pernek,žena,predproduktívny vek (0-14 rokov),71
SK0106,SK0106508161,Okres Malacky,Pernek,žena,produktívny vek (15-64 rokov),301
SK0106,SK0106508161,Okres Malacky,Pernek,žena,poproduktívny vek (65 a viac rokov),88
SK0106,SK0106508195,Okres Malacky,Plavecký Štvrtok,muž,predproduktívny vek (0-14 rokov),202
SK0106,SK0106508195,Okres Malacky,Plavecký Štvrtok,muž,produktívny vek (15-64 rokov),881
SK0106,SK0106508195,Okres Malacky,Plavecký Štvrtok,muž,poproduktívny vek (65 a viac rokov),152
SK0106,SK0106508195,Okres Malacky,Plavecký Štvrtok,žena,predproduktívny vek (0-14 rokov),213
SK0106,SK0106508195,Okres Malacky,Plavecký Štvrtok,žena,produktívny vek (15-64 rokov),844
SK0106,SK0106508195,Okres Malacky,Plavecký Štvrtok,žena,poproduktívny vek (65 a viac rokov),221
SK0106,SK0106508233,Okres Malacky,Stupava,muž,predproduktívny vek (0-14 rokov),1347
SK0106,SK0106508233,Okres Malacky,Stupava,muž,produktívny vek (15-64 rokov),3881
SK0106,SK0106508233,Okres Malacky,Stupava,muž,poproduktívny vek (65 a viac rokov),748
SK0106,SK0106508233,Okres Malacky,Stupava,žena,predproduktívny vek (0-14 rokov),1413
SK0106,SK0106508233,Okres Malacky,Stupava,žena,produktívny vek (15-64 rokov),4185
SK0106,SK0106508233,Okres Malacky,Stupava,žena,poproduktívny vek (65 a viac rokov),1021
SK0106,SK0106508241,Okres Malacky,Suchohrad,muž,predproduktívny vek (0-14 rokov),51
SK0106,SK0106508241,Okres Malacky,Suchohrad,muž,produktívny vek (15-64 rokov),250
SK0106,SK0106508241,Okres Malacky,Suchohrad,muž,poproduktívny vek (65 a viac rokov),43
SK0106,SK0106508241,Okres Malacky,Suchohrad,žena,predproduktívny vek (0-14 rokov),37
SK0106,SK0106508241,Okres Malacky,Suchohrad,žena,produktívny vek (15-64 rokov),231
SK0106,SK0106508241,Okres Malacky,Suchohrad,žena,poproduktívny vek (65 a viac rokov),61
SK0106,SK0106508349,Okres Malacky,Vysoká pri Morave,muž,predproduktívny vek (0-14 rokov),211
SK0106,SK0106508349,Okres Malacky,Vysoká pri Morave,muž,produktívny vek (15-64 rokov),750
SK0106,SK0106508349,Okres Malacky,Vysoká pri Morave,muž,poproduktívny vek (65 a viac rokov),182
SK0106,SK0106508349,Okres Malacky,Vysoká pri Morave,žena,predproduktívny vek (0-14 rokov),193
SK0106,SK0106508349,Okres Malacky,Vysoká pri Morave,žena,produktívny vek (15-64 rokov),708
SK0106,SK0106508349,Okres Malacky,Vysoká pri Morave,žena,poproduktívny vek (65 a viac rokov),229
SK0106,SK0106508365,Okres Malacky,Záhorská Ves,muž,predproduktívny vek (0-14 rokov),187
SK0106,SK0106508365,Okres Malacky,Záhorská Ves,muž,produktívny vek (15-64 rokov),658
